ticket_id,category,priority,description,hour_of_day,day_of_week,resolution_time_hours
1,OTHR,low,Necesito hablar con un asesor sobre un tema que no es técnico ni de facturación,16,0,2.9
2,OTHR,medium,"Quiero felicitar al agente que me atendió, excelente servicio",15,2,2.98
3,TECH,medium,"Se me corta el wifi cada 5 minutos, es muy frustrante",12,1,9.8
4,CNCL,medium,"Ya encontré otro proveedor, necesito cancelar mi cuenta cuanto antes",0,1,4.2
5,TECH,high,"Tengo pérdida de paquetes constante jugando online, revisen la señal por favor",9,4,4.01
6,CNCL,medium,Deseo dar de baja mi línea porque me mudo de ciudad!!,10,6,7.0
7,PLAN,medium,Estoy interesado en el combo de internet más streaming,9,6,5.71
8,CNCL,medium,Solicito la baja definitiva de todos mis servicios contratados,14,5,6.92
9,OTHR,high,"Quiero felicitar al agente que me atendió, excelente servicio",14,5,1.71
10,PLAN,high,Necesito bajar de plan porque el actual me queda muy caro!!,13,3,3.2
11,TECH,medium,"Mi router no enciende, ya lo reinicié varias veces y sigue sin funcionar",23,1,6.99
12,BILL,medium,No reconozco un cargo de $35 en mi ultima factura!!,15,0,3.71
13,CNCL,medium,"Quiero cancelar mi servicio de internet, ya no lo necesito",23,1,7.88
14,TECH,low,"Tengo pérdida de paquetes constante jugando online, revisen la señal por favor",20,6,15.07
15,PLAN,medium,Quiero contratar el Fibra 1GB para mi nueva casa en Ambato,17,4,3.91
16,PLAN,low,¿Puedo hacer upgrade a Fibra 1GB sin pagar penalidad por cambio?,15,2,6.18
17,BILL,medium,"se me generó un cargo por mora que no debería aplicar, ya pagué a tiempo!!",9,5,3.13
18,PLAN,medium,Quisiera cambiar mi plan antes de que termine el contrato actual,20,2,10.14
19,CNCL,high,"Me mudo fuera de Loja y no hay cobertura, debo cancelar",10,6,4.55
20,CNCL,high,¿Cuál es el proceso para cancelar mi plan sin penalidad?,20,3,4.76
21,OTHR,medium,Quisiera saber más sobre las políticas de privacidad de datos!!,7,6,1.93
22,CNCL,low,"Ya encontre otro proveedor, necesito cancelar mi cuenta cuanto antes",14,5,9.27
23,CNCL,low,Deseo dar de baja mi línea porque me mudo de ciudad,21,6,10.14
24,OTHR,medium,¿Dónde queda la sucursal más cercana a mi domicilio?,13,3,1.33
25,PLAN,low,¿Puedo combinar dos servicios en un solo plan con descuento?,14,1,4.37
26,TECH,high,No detecta la red wifi en ninguno de mis dispositivos desde ayer,8,3,6.32
27,BILL,low,Quiero saber la fecha límite de pago de mi factura actual,2,4,4.8
28,CNCL,high,Quiero dar de baja el combo de TV pero mantener el internet,20,4,4.14
29,OTHR,high,Tengo una consulta general sobre los servicios que ofrecen!!,12,1,0.56
30,CNCL,medium,quiero cancelar mi suscripción antes de la próxima facturación,8,2,4.04
31,BILL,low,¿Por que me cobraron $25 de mas este mes en Guayaquil?,23,5,8.93
32,TECH,low,"Contrate fibra optica pero la velocidad real es pesima, parece adsl",15,4,4.92
33,CNCL,medium,Quiero cancelar porque el precio subió demasiado,3,1,6.14
34,PLAN,low,Necesito aumentar la cantidad de datos móviles de mi plan actual,3,3,7.55
35,TECH,medium,El servicio de internet se cae todas las noches entre las 8 y las 10,21,4,5.6
36,TECH,medium,"Mi router no enciende, ya lo reinicié varias veces y sigue sin funcionar",9,2,7.22
37,OTHR,low,Tengo una duda sobre el proceso de portabilidad numérica,9,4,2.44
38,PLAN,low,Quiero información sobre los planes empresariales disponibles,5,0,7.26
39,OTHR,low,¿Puedo pagar mi factura en efectivo en algún punto físico?,6,5,6.29
40,OTHR,high,¿Dónde queda la sucursal más cercana a mi domicilio?,4,5,1.69
41,TECH,low,No carga ninguna página web desde esta mañana en Cuenca,2,0,9.1
42,BILL,medium,"Se me generó un cargo por mora que no debería aplicar, ya pagué a tiempo",14,3,2.08
43,BILL,medium,El total de la factura no coincide con el valor de mi plan mensual,20,1,4.46
44,PLAN,medium,"Me interesa subir de velocidad, ¿que opciones tienen sobre 50MB?",4,5,7.42
45,CNCL,low,"Quiero cancelar mi servicio de internet, ya no lo necesito",8,3,5.53
46,CNCL,low,"Quiero cancelar mi servicio de internet, ya no lo necesito",13,1,11.73
47,PLAN,medium,"Me interesa subir de velocidad, ¿qué opciones tienen sobre 200MB?!!",12,5,8.93
48,CNCL,low,Deseo dar de baja mi línea porque me mudo de ciudad,5,6,23.68
49,CNCL,high,quiero cancelar porque el precio subió demasiado,16,1,2.54
