ticket_id,description,category,priority
1,Necesito hablar con un asesor sobre un tema que no es técnico ni de facturación,OTHR,low
2,"Quiero felicitar al agente que me atendió, excelente servicio",OTHR,medium
3,"Se me corta el wifi cada 5 minutos, es muy frustrante",TECH,medium
4,"Ya encontré otro proveedor, necesito cancelar mi cuenta cuanto antes",CNCL,medium
5,"Tengo pérdida de paquetes constante jugando online, revisen la señal por favor",TECH,high
6,Deseo dar de baja mi línea porque me mudo de ciudad!!,CNCL,medium
7,Estoy interesado en el combo de internet más streaming,PLAN,medium
8,Solicito la baja definitiva de todos mis servicios contratados,CNCL,medium
9,"Quiero felicitar al agente que me atendió, excelente servicio",OTHR,high
10,Necesito bajar de plan porque el actual me queda muy caro!!,PLAN,high
11,"Mi router no enciende, ya lo reinicié varias veces y sigue sin funcionar",TECH,medium
12,No reconozco un cargo de $35 en mi ultima factura!!,BILL,medium
13,"Quiero cancelar mi servicio de internet, ya no lo necesito",CNCL,medium
14,"Tengo pérdida de paquetes constante jugando online, revisen la señal por favor",TECH,low
15,Quiero contratar el Fibra 1GB para mi nueva casa en Ambato,PLAN,medium
16,¿Puedo hacer upgrade a Fibra 1GB sin pagar penalidad por cambio?,PLAN,low
17,"se me generó un cargo por mora que no debería aplicar, ya pagué a tiempo!!",BILL,medium
18,Quisiera cambiar mi plan antes de que termine el contrato actual,PLAN,medium
19,"Me mudo fuera de Loja y no hay cobertura, debo cancelar",CNCL,high
20,¿Cuál es el proceso para cancelar mi plan sin penalidad?,CNCL,high
21,Quisiera saber más sobre las políticas de privacidad de datos!!,OTHR,medium
22,"Ya encontre otro proveedor, necesito cancelar mi cuenta cuanto antes",CNCL,low
23,Deseo dar de baja mi línea porque me mudo de ciudad,CNCL,low
24,¿Dónde queda la sucursal más cercana a mi domicilio?,OTHR,medium
25,¿Puedo combinar dos servicios en un solo plan con descuento?,PLAN,low
26,No detecta la red wifi en ninguno de mis dispositivos desde ayer,TECH,high
27,Quiero saber la fecha límite de pago de mi factura actual,BILL,low
28,Quiero dar de baja el combo de TV pero mantener el internet,CNCL,high
29,Tengo una consulta general sobre los servicios que ofrecen!!,OTHR,high
30,quiero cancelar mi suscripción antes de la próxima facturación,CNCL,medium
31,¿Por que me cobraron $25 de mas este mes en Guayaquil?,BILL,low
32,"Contrate fibra optica pero la velocidad real es pesima, parece adsl",TECH,low
33,Quiero cancelar porque el precio subió demasiado,CNCL,medium
34,Necesito aumentar la cantidad de datos móviles de mi plan actual,PLAN,low
35,El servicio de internet se cae todas las noches entre las 8 y las 10,TECH,medium
36,"Mi router no enciende, ya lo reinicié varias veces y sigue sin funcionar",TECH,medium
37,Tengo una duda sobre el proceso de portabilidad numérica,OTHR,low
38,Quiero información sobre los planes empresariales disponibles,PLAN,low
39,¿Puedo pagar mi factura en efectivo en algún punto físico?,OTHR,low
40,¿Dónde queda la sucursal más cercana a mi domicilio?,OTHR,high
41,No carga ninguna página web desde esta mañana en Cuenca,TECH,low
42,"Se me generó un cargo por mora que no debería aplicar, ya pagué a tiempo",BILL,medium
43,El total de la factura no coincide con el valor de mi plan mensual,BILL,medium
44,"Me interesa subir de velocidad, ¿que opciones tienen sobre 50MB?",PLAN,medium
45,"Quiero cancelar mi servicio de internet, ya no lo necesito",CNCL,low
46,"Quiero cancelar mi servicio de internet, ya no lo necesito",CNCL,low
47,"Me interesa subir de velocidad, ¿qué opciones tienen sobre 200MB?!!",PLAN,medium
48,Deseo dar de baja mi línea porque me mudo de ciudad,CNCL,low
49,quiero cancelar porque el precio subió demasiado,CNCL,high
50,¿Tiene costo cancelar antes de que termine el contrato de Fibra 500MB?,CNCL,high
51,"El descuento de la promoción no se aplicó en mi factura, sigo pagando el full!!",BILL,medium
52,"La luz del módem está en ámbar, no logro navegar",TECH,high
53,¿Puedo pagar mi factura en efectivo en algún punto físico?,OTHR,medium
54,No reconozco un cargo de $15 en mi ultima factura,BILL,high
55,Quiero agregar una línea móvil adicional a mi plan familiar,PLAN,high
56,¿Tienen promociones para migrar a Fibra 200MB este mes?,PLAN,medium
